HaloID,GrpID,Timestep,NowGroup,HaloMass,TotalParticles,TotalDarkParticles,Prog,lum
2791,1,1,1,8.38E+13,910111,319894,1,3.30993E+12
16750,1,2,1,8.34E+13,905174,318504,1,3.03874E+12
11184,102,2,1,2.23E+12,29431,8463,0,2.35277E+11
16818,274,2,1,3.66E+11,9032,1314,0,51170550675
25199,1,3,1,7.92E+13,864996,302804,1,3.40798E+12
25224,97,3,1,2.27E+12,29570,8502,0,2.76575E+11
30950,153,3,1,6.90E+11,19481,1687,0,2.78589E+11
28119,257,3,1,5.14E+11,9795,1969,0,1.07571E+11
22463,487,3,1,3.33E+11,3959,1349,0,42792739681
23658,5271,3,1,26585086739,179,114,0,159338619.8
27297,8397,3,1,16837704293,101,76,0,171125073.3
36643,1,4,1,7.68E+13,846979,292896,1,4.59413E+12
42417,96,4,1,2.19E+12,26802,8178,0,3.16294E+11
42436,173,4,1,5.41E+11,16564,1506,0,2.93461E+11
42456,257,4,1,5.29E+11,9870,2027,0,88565777070
33890,484,4,1,3.64E+11,4121,1476,0,59711732539
34987,4870,4,1,29660294574,195,128,0,171900611
45267,1,5,1,7.54E+13,834411,287060,1,4.59111E+12
53976,98,5,1,2.17E+12,26298,8074,0,3.29336E+11
54008,230,5,1,2.30E+11,10990,492,0,7.02373E+11
45331,255,5,1,5.38E+11,9864,2066,0,1.28711E+11
45385,473,5,1,3.87E+11,4248,1570,0,38133179179
48844,2728,5,1,37950384878,360,165,0,1101918070
46467,4798,5,1,30543131313,200,132,0,181442284.3
59742,1,6,1,7.50E+13,829460,285711,1,4.47143E+12
56870,98,6,1,2.17E+12,26295,8073,0,3.21307E+11
62688,206,6,1,3.10E+11,12820,742,0,5.54008E+11
59805,255,6,1,5.38E+11,9857,2062,0,96859029830
59859,470,6,1,3.94E+11,4275,1601,0,51431857829
65714,732,6,1,76683767530,2095,261,0,26693948857
57064,876,6,1,82952709733,1596,313,0,54387585464
57491,2585,6,1,42117239600,381,184,0,1114535805
63835,4794,6,1,30324878571,199,131,0,181825284
68429,1,7,1,6.50E+13,730182,247456,1,4.44215E+12
71399,42,7,1,4.91E+12,50837,18080,0,4.59642E+11
74376,99,7,1,2.03E+12,23971,7585,0,4.06011E+11
71446,228,7,1,1.88E+11,10980,345,0,46783637547
77374,249,7,1,5.46E+11,9786,2093,0,1.30622E+11
77420,432,7,1,5.14E+11,4993,2080,0,58903473416
77486,699,7,1,2.18E+11,2282,899,0,15604333839
77490,715,7,1,1.62E+11,2212,622,0,26184238415
68612,733,7,1,76747147421,2133,253,0,27295008405
68690,1045,7,1,56220609723,1269,190,0,16154253038
69001,2292,7,1,48977731996,448,208,0,1344818883
69032,2417,7,1,36944287165,422,157,0,2743497331
69036,2433,7,1,39230939239,419,163,0,1165531279
72025,2535,7,1,50726790786,395,220,0,803522187.3
72593,4810,7,1,30979638382,202,134,0,189374199.5
80272,1,8,1,6.13E+13,691375,232820,1,4.85286E+12
86307,38,8,1,4.91E+12,43559,18338,0,1.73952E+11
83308,100,8,1,1.95E+12,22394,7312,0,3.27917E+11
80317,181,8,1,2.80E+11,14299,607,0,64446896994
86357,241,8,1,5.55E+11,9690,2129,0,1.6603E+11
80349,310,8,1,2.31E+11,7368,637,0,2.53863E+11
83377,380,8,1,6.17E+11,5765,2444,0,43043869028
89458,590,8,1,1.54E+11,2992,544,0,21302686151
80430,634,8,1,2.82E+11,2666,1157,0,44685797345
86457,639,8,1,2.05E+11,2513,787,0,26380436532
89521,844,8,1,94227747495,1744,325,0,20587628444
86597,1205,8,1,54457185776,1011,213,0,4600684994
89639,1313,8,1,1.14E+11,925,492,0,3721305242
86797,2005,8,1,63437177152,528,272,0,2099429556
89867,2226,8,1,59654518934,468,253,0,888208467.5
83883,2404,8,1,38492591380,428,157,0,1251360169
84003,2886,8,1,46075175536,350,199,0,992135018.3
81135,3462,8,1,32238280942,289,141,0,786776374.8
87528,4929,8,1,30543134020,200,132,0,200937267.5
91221,7643,8,1,14798330728,126,65,0,457233925
101348,1,9,1,6.10E+13,689042,231840,1,4.30697E+12
95340,38,9,1,4.81E+12,42641,18012,0,92950564331
92348,100,9,1,1.92E+12,22116,7206,0,2.62957E+11
95376,186,9,1,2.74E+11,14190,600,0,65087755953
98399,243,9,1,5.56E+11,9683,2132,0,82060809312
101423,303,9,1,2.59E+11,7597,743,0,2.74624E+11
101443,377,9,1,6.23E+11,5799,2467,0,88460610262
101494,583,9,1,1.60E+11,3043,566,0,29702160081
101507,634,9,1,2.81E+11,2651,1158,0,13823785519
98498,638,9,1,2.08E+11,2525,801,0,13986315236
101559,843,9,1,95572108393,1742,333,0,11289181666
98642,1213,9,1,54302761768,1016,212,0,4675091980
98667,1313,9,1,1.14E+11,931,493,0,16290522430
92827,2018,9,1,63168018153,525,271,0,2003295385
98890,2203,9,1,60266011241,474,255,0,896975257
92926,2417,9,1,38410978835,426,157,0,1257867198
96052,2888,9,1,46225771077,350,200,0,1031673703
96171,3364,9,1,33369358764,298,146,0,808456092.8
102595,4994,9,1,30106628647,198,130,0,201240947.5
97247,7669,9,1,14590387498,126,64,0,472813384
104356,1,10,1,5.83E+13,658535,221120,1,4.96958E+12
110464,38,10,1,4.55E+12,41183,16989,0,3.48359E+11
107432,106,10,1,1.71E+12,19694,6433,0,2.77418E+11
113548,172,10,1,3.62E+11,15616,958,0,77227854036
107466,241,10,1,5.64E+11,9554,2160,0,1.28074E+11
107486,325,10,1,3.91E+11,6773,1373,0,1.78753E+11
113595,358,10,1,6.49E+11,5783,2571,0,57468268721
110595,558,10,1,2.59E+11,2987,971,0,14814261242
113645,561,10,1,1.88E+11,3192,690,0,46904757333
107559,614,10,1,2.97E+11,2795,1204,0,15061452209
110628,693,10,1,2.65E+11,1952,1115,0,13610226198
107650,980,10,1,95341588096,1395,382,0,6039441179
107655,999,10,1,64709163977,1353,231,0,15246594676
110750,1182,10,1,61038904519,1060,242,0,5236172939
113826,1287,10,1,1.16E+11,960,495,0,4088326158
104841,1935,10,1,70552453612,561,292,0,987801639
114001,1981,10,1,65393921891,544,278,0,1495372397
108031,2503,10,1,37419283349,414,154,0,1350797307
105077,2886,10,1,46883663155,354,202,0,960602080.5
105138,3134,10,1,36112679161,322,158,0,927560686
105600,4981,10,1,30152913025,199,130,0,212234960
126055,1,11,1,5.30E+13,597454,199841,1,5.34198E+12
